PLZ,Ort,Landkreis,Bundesland,owner,region_name,notes
10115,Berlin,Berlin,Berlin,Unassigned,,
10117,Berlin,Berlin,Berlin,Unassigned,,
10119,Berlin,Berlin,Berlin,Unassigned,,
10178,Berlin,Berlin,Berlin,Unassigned,,
10179,Berlin,Berlin,Berlin,Unassigned,,
10243,Berlin,Berlin,Berlin,Unassigned,,
10245,Berlin,Berlin,Berlin,Unassigned,,
10247,Berlin,Berlin,Berlin,Unassigned,,
10249,Berlin,Berlin,Berlin,Unassigned,,
10315,Berlin,Berlin,Berlin,Unassigned,,
10317,Berlin,Berlin,Berlin,Unassigned,,
10318,Berlin,Berlin,Berlin,Unassigned,,
10319,Berlin,Berlin,Berlin,Unassigned,,
10365,Berlin,Berlin,Berlin,Unassigned,,
10367,Berlin,Berlin,Berlin,Unassigned,,
10369,Berlin,Berlin,Berlin,Unassigned,,
10405,Berlin,Berlin,Berlin,Unassigned,,
10407,Berlin,Berlin,Berlin,Unassigned,,
10409,Berlin,Berlin,Berlin,Unassigned,,
10435,Berlin,Berlin,Berlin,Unassigned,,
10437,Berlin,Berlin,Berlin,Unassigned,,
10439,Berlin,Berlin,Berlin,Unassigned,,
10551,Berlin,Berlin,Berlin,Unassigned,,
10553,Berlin,Berlin,Berlin,Unassigned,,
10555,Berlin,Berlin,Berlin,Unassigned,,
10557,Berlin,Berlin,Berlin,Unassigned,,
10559,Berlin,Berlin,Berlin,Unassigned,,
10585,Berlin,Berlin,Berlin,Unassigned,,
10587,Berlin,Berlin,Berlin,Unassigned,,
10589,Berlin,Berlin,Berlin,Unassigned,,
10623,Berlin,Berlin,Berlin,Unassigned,,
10625,Berlin,Berlin,Berlin,Unassigned,,
10627,Berlin,Berlin,Berlin,Unassigned,,
10629,Berlin,Berlin,Berlin,Unassigned,,
10707,Berlin,Berlin,Berlin,Unassigned,,
10709,Berlin,Berlin,Berlin,Unassigned,,
10711,Berlin,Berlin,Berlin,Unassigned,,
10713,Berlin,Berlin,Berlin,Unassigned,,
10715,Berlin,Berlin,Berlin,Unassigned,,
10717,Berlin,Berlin,Berlin,Unassigned,,
10719,Berlin,Berlin,Berlin,Unassigned,,
10777,Berlin,Berlin,Berlin,Unassigned,,
10779,Berlin,Berlin,Berlin,Unassigned,,
10781,Berlin,Berlin,Berlin,Unassigned,,
10783,Berlin,Berlin,Berlin,Unassigned,,
10785,Berlin,Berlin,Berlin,Unassigned,,
10787,Berlin,Berlin,Berlin,Unassigned,,
10789,Berlin,Berlin,Berlin,Unassigned,,
10823,Berlin,Berlin,Berlin,Unassigned,,
10825,Berlin,Berlin,Berlin,Unassigned,,
10827,Berlin,Berlin,Berlin,Unassigned,,
10829,Berlin,Berlin,Berlin,Unassigned,,
10961,Berlin,Berlin,Berlin,Unassigned,,
10963,Berlin,Berlin,Berlin,Unassigned,,
10965,Berlin,Berlin,Berlin,Unassigned,,
10967,Berlin,Berlin,Berlin,Unassigned,,
10969,Berlin,Berlin,Berlin,Unassigned,,
10997,Berlin,Berlin,Berlin,Unassigned,,
10999,Berlin,Berlin,Berlin,Unassigned,,
12043,Berlin,Berlin,Berlin,Unassigned,,
12045,Berlin,Berlin,Berlin,Unassigned,,
12047,Berlin,Berlin,Berlin,Unassigned,,
12049,Berlin,Berlin,Berlin,Unassigned,,
12051,Berlin,Berlin,Berlin,Unassigned,,
12053,Berlin,Berlin,Berlin,Unassigned,,
12055,Berlin,Berlin,Berlin,Unassigned,,
12057,Berlin,Berlin,Berlin,Unassigned,,
12059,Berlin,Berlin,Berlin,Unassigned,,
12099,Berlin,Berlin,Berlin,Unassigned,,
12101,Berlin,Berlin,Berlin,Unassigned,,
12103,Berlin,Berlin,Berlin,Unassigned,,
12105,Berlin,Berlin,Berlin,Unassigned,,
12107,Berlin,Berlin,Berlin,Unassigned,,
12109,Berlin,Berlin,Berlin,Unassigned,,
12157,Berlin,Berlin,Berlin,Unassigned,,
12159,Berlin,Berlin,Berlin,Unassigned,,
12161,Berlin,Berlin,Berlin,Unassigned,,
12163,Berlin,Berlin,Berlin,Unassigned,,
12165,Berlin,Berlin,Berlin,Unassigned,,
12167,Berlin,Berlin,Berlin,Unassigned,,
12169,Berlin,Berlin,Berlin,Unassigned,,
12203,Berlin,Berlin,Berlin,Unassigned,,
12205,Berlin,Berlin,Berlin,Unassigned,,
12207,Berlin,Berlin,Berlin,Unassigned,,
12209,Berlin,Berlin,Berlin,Unassigned,,
12247,Berlin,Berlin,Berlin,Unassigned,,
12249,Berlin,Berlin,Berlin,Unassigned,,
12277,Berlin,Berlin,Berlin,Unassigned,,
12279,Berlin,Berlin,Berlin,Unassigned,,
12305,Berlin,Berlin,Berlin,Unassigned,,
12307,Berlin,Berlin,Berlin,Unassigned,,
12309,Berlin,Berlin,Berlin,Unassigned,,
12347,Berlin,Berlin,Berlin,Unassigned,,
12349,Berlin,Berlin,Berlin,Unassigned,,
12351,Berlin,Berlin,Berlin,Unassigned,,
12353,Berlin,Berlin,Berlin,Unassigned,,
12355,Berlin,Berlin,Berlin,Unassigned,,
12357,Berlin,Berlin,Berlin,Unassigned,,
12359,Berlin,Berlin,Berlin,Unassigned,,
12435,Berlin,Berlin,Berlin,Unassigned,,
12437,Berlin,Berlin,Berlin,Unassigned,,
12439,Berlin,Berlin,Berlin,Unassigned,,
12459,Berlin,Berlin,Berlin,Unassigned,,
12487,Berlin,Berlin,Berlin,Unassigned,,
12489,Berlin,Berlin,Berlin,Unassigned,,
12524,Berlin,Berlin,Berlin,Unassigned,,
12526,Berlin,Berlin,Berlin,Unassigned,,
12527,Berlin,Berlin,Berlin,Unassigned,,
12529,Schönefeld,Dahme-Spreewald,Brandenburg,Unassigned,,
12555,Berlin,Berlin,Berlin,Unassigned,,
12557,Berlin,Berlin,Berlin,Unassigned,,
12559,Berlin,Berlin,Berlin,Unassigned,,
12587,Berlin,Berlin,Berlin,Unassigned,,
12589,Berlin,Berlin,Berlin,Unassigned,,
12619,Berlin,Berlin,Berlin,Unassigned,,
12621,Berlin,Berlin,Berlin,Unassigned,,
12623,Berlin,Berlin,Berlin,Unassigned,,
12627,Berlin,Berlin,Berlin,Unassigned,,
12629,Berlin,Berlin,Berlin,Unassigned,,
12679,Berlin,Berlin,Berlin,Unassigned,,
12681,Berlin,Berlin,Berlin,Unassigned,,
12683,Berlin,Berlin,Berlin,Unassigned,,
12685,Berlin,Berlin,Berlin,Unassigned,,
12687,Berlin,Berlin,Berlin,Unassigned,,
12689,Berlin,Berlin,Berlin,Unassigned,,
13051,Berlin,Berlin,Berlin,Unassigned,,
13053,Berlin,Berlin,Berlin,Unassigned,,
13055,Berlin,Berlin,Berlin,Unassigned,,
13057,Berlin,Berlin,Berlin,Unassigned,,
13059,Berlin,Berlin,Berlin,Unassigned,,
13086,Berlin,Berlin,Berlin,Unassigned,,
13088,Berlin,Berlin,Berlin,Unassigned,,
13089,Berlin,Berlin,Berlin,Unassigned,,
13125,Berlin,Berlin,Berlin,Unassigned,,
13127,Berlin,Berlin,Berlin,Unassigned,,
13129,Berlin,Berlin,Berlin,Unassigned,,
13156,Berlin,Berlin,Berlin,Unassigned,,
13158,Berlin,Berlin,Berlin,Unassigned,,
13159,Berlin,Berlin,Berlin,Unassigned,,
13187,Berlin,Berlin,Berlin,Unassigned,,
13189,Berlin,Berlin,Berlin,Unassigned,,
13347,Berlin,Berlin,Berlin,Unassigned,,
13349,Berlin,Berlin,Berlin,Unassigned,,
13351,Berlin,Berlin,Berlin,Unassigned,,
13353,Berlin,Berlin,Berlin,Unassigned,,
13355,Berlin,Berlin,Berlin,Unassigned,,
13357,Berlin,Berlin,Berlin,Unassigned,,
13359,Berlin,Berlin,Berlin,Unassigned,,
13403,Berlin,Berlin,Berlin,Unassigned,,
13405,Berlin,Berlin,Berlin,Unassigned,,
13407,Berlin,Berlin,Berlin,Unassigned,,
13409,Berlin,Berlin,Berlin,Unassigned,,
13435,Berlin,Berlin,Berlin,Unassigned,,
13437,Berlin,Berlin,Berlin,Unassigned,,
13439,Berlin,Berlin,Berlin,Unassigned,,
13465,Berlin,Berlin,Berlin,Unassigned,,
13467,Berlin,Berlin,Berlin,Unassigned,,
13469,Berlin,Berlin,Berlin,Unassigned,,
13503,Berlin,Berlin,Berlin,Unassigned,,
13505,Berlin,Berlin,Berlin,Unassigned,,
13507,Berlin,Berlin,Berlin,Unassigned,,
13509,Berlin,Berlin,Berlin,Unassigned,,
13581,Berlin,Berlin,Berlin,Unassigned,,
13583,Berlin,Berlin,Berlin,Unassigned,,
13585,Berlin,Berlin,Berlin,Unassigned,,
13587,Berlin,Berlin,Berlin,Unassigned,,
13589,Berlin,Berlin,Berlin,Unassigned,,
13591,Berlin,Berlin,Berlin,Unassigned,,
13593,Berlin,Berlin,Berlin,Unassigned,,
13595,Berlin,Berlin,Berlin,Unassigned,,
13597,Berlin,Berlin,Berlin,Unassigned,,
13599,Berlin,Berlin,Berlin,Unassigned,,
13627,Berlin,Berlin,Berlin,Unassigned,,
